x,y,labels,antivax
17.177246,8.791075,3,0
4.941367,5.139806,4,0
17.325638,7.568264,3,0
6.8428745,4.203519,4,1
4.280046,2.5784564,4,0
6.451976,2.2600367,4,1
2.5616572,1.9972471,4,1
16.812622,6.9597526,3,1
3.4881072,1.8363249,4,0
3.8887389,3.4430609,4,0
6.2882805,11.907718,4,0
5.750416,11.990223,4,0
15.853706,6.4308567,3,0
5.5198975,4.129056,4,0
15.510568,20.998028,2,0
16.849522,10.5249815,3,1
5.9620404,11.284039,4,0
6.6635385,4.194826,4,0
3.1958807,5.5020947,4,0
4.5825787,0.8238135,4,1
16.37628,9.725093,3,0
3.8234906,0.95216876,4,0
16.959444,8.771156,3,0
3.187692,5.1322165,4,0
6.2876973,12.651134,4,0
15.960508,11.937362,3,0
17.32816,6.366016,3,0
5.350675,2.6187959,4,0
17.382832,6.8297186,3,0
6.2224445,2.4393866,4,0
6.065148,11.651865,4,0
3.2204602,5.117619,4,0
4.671588,1.7829344,4,0
2.837904,1.5517063,4,1
14.9665,-1.0170509,3,0
17.250088,9.513245,3,0
7.2772174,2.406793,4,1
16.19744,9.41462,3,1
7.4752812,1.8846856,4,0
16.525911,7.383716,3,0
3.8765438,1.6188546,4,1
17.440207,9.086245,3,0
4.4903083,2.473736,4,0
18.174618,9.901035,3,1
4.624545,4.474254,4,1
17.538563,10.224688,3,0
5.013036,2.738283,4,0
2.7645972,4.086078,4,1
16.456059,10.219984,3,0
5.8876677,2.6208956,4,0
7.2137504,11.846101,4,0
16.721954,9.413728,3,0
5.074788,5.265657,4,1
16.231573,6.2163,3,0
6.4753137,1.1890265,4,0
18.253302,8.94584,3,0
15.831561,5.898239,3,0
15.510755,20.998224,2,0
14.674357,4.528142,3,0
17.396671,8.785348,3,0
4.433463,4.9069576,4,0
6.2382283,3.898636,4,0
3.4919686,4.7186275,4,1
6.6704493,4.2457247,4,0
4.158387,2.9364302,4,0
4.8868275,0.43391508,4,0
6.383615,11.385209,4,0
5.858863,5.0690947,4,0
4.1913133,4.162121,4,0
3.0526125,1.5542079,4,0
4.029524,3.0247238,4,0
5.1416597,0.1397826,4,0
16.354328,10.333352,3,1
4.4891257,0.91480106,4,0
6.6919184,1.4077655,4,0
4.7400413,3.9110794,4,0
16.658394,7.3303604,3,0
16.818047,8.893078,3,0
5.222087,0.100970715,4,0
16.250006,8.167106,3,0
6.2372556,3.0543208,4,0
15.628027,5.6549544,3,0
14.690236,4.552296,3,1
18.387602,8.842982,3,0
5.1744432,5.87566,4,0
5.699947,5.5971837,4,0
1.2247734,-5.721088,-1,1
5.120326,5.101313,4,0
17.745874,10.642404,3,1
5.259805,5.0731025,4,0
5.9541955,11.391344,4,0
6.173951,4.702725,4,0
17.082476,9.054889,3,0
17.938303,9.385909,3,1
16.795403,7.3847575,3,0
3.077507,1.6243218,4,0
15.942356,9.342104,2,1
4.2073855,2.424582,4,0
16.144442,6.669623,3,0
5.074012,4.4760256,4,0
5.3472385,4.812514,4,0
18.241983,10.021183,3,0
5.272201,1.0634514,4,0
6.8424773,1.4152883,4,1
4.119871,0.7806002,4,0
17.798988,10.168346,3,1
5.460811,2.6606326,4,1
17.684696,10.325357,3,1
5.2639995,2.6577988,4,0
5.9868927,12.707018,4,1
16.320736,6.903723,3,1
3.0378482,4.871058,4,1
14.7080555,4.5713725,3,0
3.2870603,1.5431412,4,1
15.93879,5.833168,3,1
17.019081,8.462292,3,0
2.8488603,4.2189527,4,1
4.2639213,2.9924698,4,0
7.0002403,1.3117677,4,1
16.601091,7.4754066,3,0
2.9920862,4.808445,4,1
4.272666,0.8992212,4,1
5.271118,1.763877,4,0
6.36001,12.704721,4,0
7.338628,1.8093834,4,0
6.063002,11.60425,4,0
15.649421,5.4328327,3,1
4.8738933,4.195269,4,0
5.818428,4.841932,4,1
5.963233,11.411316,4,1
16.620764,6.9024167,3,0
3.0663862,4.692901,4,1
15.804385,6.342442,3,1
15.716383,5.6098003,3,0
3.3233151,5.285339,4,1
17.653948,8.837247,3,0
2.7466307,4.3912005,4,0
4.2298727,3.2824154,4,0
5.9583745,0.91563207,4,0
5.311835,4.371068,4,0
6.2431355,12.787095,4,1
5.6957216,3.3830593,4,0
8.116058,2.6971843,4,0
6.4914317,1.140138,4,0
4.1648264,2.9183388,4,1
5.174746,0.84863,4,0
16.378307,10.463745,3,0
17.470236,7.6464887,3,0
4.7464614,4.1947703,4,0
16.183548,6.007996,3,1
7.0677004,4.021714,4,1
18.380909,9.319386,3,0
16.360704,9.715543,3,0
5.2126327,2.1188242,4,0
17.531569,10.573847,3,0
4.664637,2.4439619,4,0
