User Name,Codename,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Paparazzi,"",none,,,,20141,,2021-10-26 17:39:15 EDT,2021-10-26,17:39:15,Photo,11,5,1,2,3,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1871918792915490/permalink/4482929781814365,By Sendi Salem Vaccin covidec 19,https://www.facebook.com/photo.php?fbid=1282161002197113&set=gm.4482929781814365&type=3,,"",Photos from Gonzales Alexander's post,"",,,,11,-6.91
☯️ Connect The Dots  #ConnectDaDots ☯️,"",learning,,,,1853,,2020-10-21 18:34:30 EDT,2020-10-21,18:34:30,Link,4,3,1,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1697436677142605/permalink/2937808623105398,Interesting and informative article from Michigan State Univeraity about what to expect from the future Covid-19 vaccines.,https://msutoday.msu.edu/news/2020/ask-the-expert-how-a-covid-19-vaccine-may-look-different?utm_source=msutoday-email&utm_medium=email&utm_campaign=standard-promo&id=97e310f57f86698c2c230ac0c66078aa&utm_content=image5,,"",Ask the expert: How a COVID-19 vaccine may look different than others | MSUToday | Michigan State University,"As flu season approaches and scientists continue to work toward a vaccine for COVID-19, Andrea Amalfitano uses his expertise in developing innovative treatments for a variety of diseases to shed light on the process for creating a COVID-19 vaccine and how it may be different from other common vaccin...",,,,4,-9.25
Maryland Equity Vaccine Hunters / Cazadores de vacunas para la equidad,"",none,,,,3556,,2021-04-10 22:14:59 EDT,2021-04-10,22:14:59,Link,3,3,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/884582065668731/permalink/908613859932218,"There are lots of J&J and Moderna appointments on the Eastern Shore - in Easton, Ocean City, Berlin, Ridgely, Pocomoke City, and Salisbury. When you click on this link, don’t fill out the form on the top - just keep scrolling down to see the different sites. https://www.marylandvax.org/clinic/search",https://www.marylandvax.org/clinic/search?page=2,,"",MarylandVax,Additional Information: SECOND MODERNA DOSE. Persons screened and exhibiting possible COVID-19 symptoms or awaiting COVID-19 test results should NOT be vaccinated. Persons with a history of severe allergic reactions (e.g. anaphylaxis) to any component of an mRNA COVID-19 vaccine should not be vaccin...,,,,3,-0.77
San Miguel de Salinas Advertising (Publicidad),"",none,,,,1385,,2021-05-12 15:00:01 EDT,2021-05-12,15:00:01,Status,3,0,3,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/60104230118/permalink/10159302334575119,What agegroup is getting their vaccin in our centro de salud?,"",,"","","",,,,3,-6.67
Maryland Equity Vaccine Hunters / Cazadores de vacunas para la equidad,"",none,,,,3591,,2021-04-29 13:21:57 EDT,2021-04-29,13:21:57,Photo,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/884582065668731/permalink/919513692175568,Walk-ins in Urbana (Frederick)...,https://www.facebook.com/Urbanapharmacy/photos/a.103204851352371/281613776844810/?type=3,,VID-19 CCINE COVID VACC R 1ml VACCIN COVID-,"Urbana Pharmacy, Maryland",You can now walk in for a COVID-19 vaccine.,,,,2,-0.87
A Verdade da Justiça,"",none,,,,5410,,2021-06-10 05:44:19 EDT,2021-06-10,05:44:19,Link,1,0,0,0,0,0,1,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/540173533629892/permalink/585458495768062,In English https://rumble.com/viat91-pourquoi-les-aimants-se-collent-ils-sur-la-zone-du-vaccin-.html?fbclid=IwAR1vBjK_8Mr2xLLFGrzRxxUJ7jDRP5rywO2VCPHcuPyFYaNApvtP7Xucb-c,https://rumble.com/viat91-pourquoi-les-aimants-se-collent-ils-sur-la-zone-du-vaccin-.html,,"",Pourquoi les aimants se collent-ils sur la zone du vaccin ?,"Scandale de santé mondiale - Pourquoi les aimants se collent-ils sur la zone du vaccin ? Stephano Montanari, Pharmacien et Scientifique Italien Expert en Nanopathologies nous dit tout --- À voir jusqu",,,,1,-37
Vaccinskadad - vi som vägrar leva i mörker,"",none,,,,3074,,2021-12-30 11:40:28 EST,2021-12-30,11:40:28,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/645322935534605/permalink/4747651325301725,"Experiment med J&J (Janssen) vaccin tog slut i USA p.g.a. omfattande blodproppar hos människor. Hursomhelst, EU-länder fortsätter köra vaccin oavsett att vaccinens hemlandet har slutat med den. """" Earlier Thursday, the CDC's Advisory Committee on Immunization Practices endorsed the updated recommendation after hearing new data indicating that a rare blood clotting syndrome is more common among people who recently got a J&J vaccine than previously believed."""" ",https://edition.cnn.com/2021/12/16/health/johnson-vaccine-acip-recommendation-mrna-preferred/index.html,,"","CDC recommends Pfizer, Moderna vaccines over J&J's","",,,,1,-23
Singapore Paparazzi Foodies 新加坡 美食饕 尋食者,"",none,,,,4115,,2021-07-21 08:16:37 EDT,2021-07-21,08:16:37,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1202458403199086/permalink/3914822501962649,"Have you gotten your shot? 💉If not, wait no more! Get yours now and enjoy one mini pack of biscoff moogats on us with any purchase! 💝 Let’s do our part to minimize the spread of the COVID-19 virus 🦠, and protect our families, friends and community! 💪🇸🇬 #iGotMyShotSG *Valid from 22 July to 8 August 2021 Order Link 📩 www.tinyurl.com/moogatsg https://www.facebook.com/100448525067316/posts/331021232010043/?d=n",https://www.facebook.com/moogatsg/photos/a.143196377459197/331021185343381/?type=3,,HAVE gatten goor YOU shaty STAND UP FOR SINGAPORE lotus LIMITED per customer 1pack Simply screenshotyour vaccination status redeem mini pack of biscoff moogats with any purchase My #iGotul VACCIN,moogatsg,"Have you gotten your shot? 💉If not, wait no more!  

Get yours now and enjoy one mini pack of biscoff moogats on us with any purchase! 💝

Let’s do our part to minimize the spread of the COVID-19 virus 🦠, and protect our families, friends and community! 💪🇸🇬 #iGotMyShotSG

*Valid from 22 July to 8 August 2021",,,,0,-18
Condado COVID-19 support group,"",none,,,,481,,2021-04-04 08:50:38 EDT,2021-04-04,08:50:38,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/197081198218672/permalink/479248910001898,European Commission,https://www.facebook.com/EuropeanCommission/photos/a.169236379790517/3929821960398588/?type=3,,"WHAT IS THE DIGITAL GREEN CERTIFICATE? Vaccination certificate BE-telecom """" Name Birth DOE 1957-06-05 Vaccination certificate Disease/agent SARS-CoV-19 Dose Vaccin C19-mRNA Med. Comirnaty nufacturer Date 021-02-03 Country Belgium Dose Vaccine C19-mRNA product Comirnaty Name Birth Country DOE 1957-06-05 2021-02-24 Belgium Disease/agent Certificate issued Certificate dentifier SARS-CoV-19 national health service E-12345678ASBCD-56789 PAEN PAPER C19-mRNA Comimnaty Country 1-02-24 Belgium Certificate issuedby Porce service V1-BE-12345678ASBCD-56789-44 DIGITAL VERSION European Commission",European Commission,"Travellers in the EU have been asked to provide various documents to comply with COVID-19 travel measures, such as medical certificates, test results or declarations. The absence of standardised formats has created problems for people moving within the EU.

With the digital green certificate, we are taking a European approach to ensure EU citizens and their family members can travel safely and with minimum restrictions this summer.

Our goals for the digital green certificate:

✅ Non-discriminatory

✅ Safe and secure

✅ Valid in all EU countries",,,,0,-22
Vaccinskadad - vi som vägrar leva i mörker,"",none,,,,3074,,2022-01-02 10:16:00 EST,2022-01-02,10:16:00,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/645322935534605/permalink/4757141077686083,"En ny artikeln om biverkningar från mRNA-vaccin. Intressant att läsa för dem som är tveksamma. """"The mRNA vaccines currently in use are known to be reactogenic with a range of inflammatory adverse events which have not been completely explained, such as myocarditis in young men. Aseptic meningitis might be another complication that clinicians need to be alerted to, although larger surveillance studies are needed to establish if indeed post vaccination rates of aseptic meningitis are consistently above baseline. """" ",https://www.sciencedirect.com/science/article/pii/S266635462100209X?via%3Dihub,,"",Aseptic meningitis after BNT-162b2 COVID-19 vaccination,"The COVID-19 pandemic has had an unprecedented impact on healthcare systems globally, giving rise to significant morbidity and mortality. Vaccination …",,,,0,-46
