User Name,Codename,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
209 LIVE WTF MOMENTS,"",none,,,,2479,,2021-10-27 12:55:07 EDT,2021-10-27,12:55:07,Link,2,0,1,0,0,1,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1645429002140429/permalink/5025347410815221,"""""Buried 6 Hours Into FDA Video: Doctor Makes Chilling Admin on Child C. Vax"""" “We’re never going to learn about how safe the vac is unless we start giving it & that’s just the way it goes. That’s how we found out about rare complications of other vaccines” ",https://t.co/RvthaxrbRt,,"",militaryveteransofdisqus.org,"",0,,,2,-0.88
209 LIVE WTF MOMENTS,"",none,,,,2476,,2021-11-03 13:23:39 EDT,2021-11-03,13:23:39,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1645429002140429/permalink/5048152005201428,Before the pandemic became the scamdemic I warned people that a vax would be used to weaken our military. This is one of those times it sucks to be right.,https://www.bitchute.com/video/SOzQ7mLDDma8/,,"",Flight Surgeon: “Ground Injected Military Pilots” – Hearing You WON’T See,"STEW PETERS SHOW NOVEMBER 2, 2021",0,,,0,-32
ANG BAYAN KONG PILIPINAS! (Ang mamatay nang dahil sa iyo!),"",none,,,,1812,,2021-09-28 05:18:40 EDT,2021-09-28,05:18:40,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/372132662985524/permalink/1684074381791339,Flu vax available at Taguig City courtesy of AC health. Get your flu shots now!,https://www.facebook.com/KwentongBayanihan/photos/a.115904780197747/363567742098115/?type=3,,"",Kwentong Bayanihan,"FLU VACCINATION SA TAGUIG CITY, SINIMULAN NA NG AC HEALTH.

Bilang dagdag proteksyon ngayong pandemya, sinimulan ng AC Health bakunahan ng flu vaccine ang priority groups sa Taguig City particularly ang mga immunocompromised patient at may mga comorbidity. Ito ay kasunod ng effort at donation na 1,000 flu vaccine ng Ayala Corporation noong July, 2021 para sa Taguig City.

#KwentongBayanihan",0,,,0,-40
Anti-Vax Moms,"",none,,,,,,2020-11-23 13:07:38 EST,2020-11-23,13:07:38,Status,9,4,5,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1021989831634103/permalink/1023825541450532,Vax or anti vax,"",,"","","",0,,,9,0.47
Anti-Vax Moms,"",none,,,,,,2020-11-21 00:34:32 EST,2020-11-21,00:34:32,Status,6,2,3,0,0,0,1,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1021989831634103/permalink/1021990184967401,Anti Vax Mom!!!,"",,"","","",0,,,6,0.32
A pregnant mothers journey,"",none,,,,,,2021-10-05 20:12:09 EDT,2021-10-05,20:12:09,Status,5,4,1,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/326148712549719/permalink/408724927625430,"hello, is it ok to be vaccinated with anticovid vax,im at 27 weeks","",,"","","",0,,,5,-19
Australian truckstops wtf moment's,"",none,,,,12064,,2021-08-29 17:36:15 EDT,2021-08-29,17:36:15,Link,285,133,84,26,31,1,8,1,0,1,,-,0,0,0,,https://www.facebook.com/groups/103877856827756/permalink/942976886251178,So its started today,https://7news.com.au/lifestyle/health-wellbeing/truck-drivers-block-major-queensland-freeway-in-protest-of-vaccine-mandates-covid-lockdowns-c-3817279,,"",Anti-vax truckies cause traffic chaos during BLOCKADE on major QLD motorway,Unapologetic truck drivers have blocked traffic on a major highway to demand an end to lockdowns.,0,,,285,6.33
Battery Park City Moms,"",none,,,,1246,,2021-07-30 13:38:18 EDT,2021-07-30,13:38:18,Photo,1,0,1,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/144782209660174/permalink/1050984489039937,"Hi Moms! Kids at Work, located in flatiron, has just launched our Fall schedule of SAFE, INDOOR drop-in classes and activities for infants, toddlers, preschoolers and the grown-ups who love them! Come to any class, any day, any time with a package that NEVER expires! Single drop-ins also available. Music, soccer, yoga, cooking, Mandarin, sign language, and more! Why commit to only one class, when you mix it up all within a consistent, welcoming space? As of Sept 20 we will have a """"vax or 24 hour test policy"""" for all adults who enter our space. 💉😷 Join us as we celebrate our grand re-opening! Feel free to PM me to set up a time to stop by or make a summer reservation to check out a class! I am the owner. ❤ https://www.kidsatworknyc.com/current-full-schedule/",https://www.facebook.com/photo.php?fbid=10220744195134368&set=gm.1050984489039937&type=3,,"",Photos from Julie Averill's post,"",0,,,1,-0.91
Bergen County Moms and Dads presented by The Silberstein Group,"",none,,,,1575,,2021-01-03 13:01:27 EST,2021-01-03,13:01:27,Photo,2,1,0,0,1,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1633755033582566/permalink/2635673840057342,"If you're 1A, please don't be polite and try to let others go first. Make your appointment ASAP! Too many people being polite and stepping back so others can go is apparently slowing down the vax distribution.",https://www.facebook.com/RiversideMedicalGroup/photos/a.242033052619610/1744159705740263/?type=3,,BEEN,Riverside Medical Group,"As promised, Riverside Medical Group has extended its services to administer the Moderna COVID-19 vaccine. 

Healthcare workers throughout the state of NJ can now visit the following 17 locations:

Belleville: 973-759-1221
Bloomfield: 973-748-7459
Cherry Hill: 856-779-0783
East Brunswick: 732-613-6168
Ewing: 609-896-0485
Haddon Heights: 856-547-6000
Hoboken Maxwell: 201-942-9314
Jersey City Palisades: 201-656-0001
Ledgewood: 973-584-6751
Mount Ephraim: 856-931-3107
Lodi: 201-843-3207
Saddle Brook: 201-368-1717
Secaucus: 201-865-2050
Springfield: 908-687-7250
Watchung: 908-322-2631
Willingboro: 609-871-2045
Woodbury: 856-384-5949

#rmgcrushedcovid
#ivaxwithrmg",0,,,2,-0.82
Bergen County Moms and Dads presented by The Silberstein Group,"",none,,,,1745,,2021-11-29 12:56:40 EST,2021-11-29,12:56:40,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1633755033582566/permalink/2864773157147408,"New York City's health chief """"strongly"""" recommended Monday that everyone wear masks in indoor public settings at all times -- regardless of their vax status -- as concerns grows over a new mutated strain of COVID.",https://dailyvoice.com/new-jersey/mahwah/news/nyc-health-chief-reinstates-indoor-public-mask-advisory-as-omicron-concerns-grow/820867/,,"",NYC Health Chief Reinstates Indoor Public Mask Advisory As Omicron Concerns Grow,New York City's health chief,0,,,1,-0.93
