User Name,Codename,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted    Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score,antivax
Hood Republicans,,none,,,,4438,,2021-09-17 10:16:57 EDT,2021/9/17,10:16:57,Status,4,2,2,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1115036398671091/permalink/1948690938638962," I have questions. I know asking questions is a cardinal sin....but I'll be brave and ask anyway. #1) WHY are medically educated nurses quitting and getting fired instead of getting the vax? They have worked on the frontlines since the beginning, so no one can accuse them of being ignorant on the subject. They know more about Covid than anyone else. So what do they know that we don't?  And WHY is the system firing all these valuable folks in a pandemic in the first place? They worked through the worst of it last year with no vaccine when we didn't know anything at all about Covid. This year they're all expendable when we now know it has a survival rate of 99.8%?  If the hospitals are as """"""""clogged"""""""" as they say.... WHERE is the USS Comfort?? WHERE is the Army Corp of Engineers building temporary hospitals? WHY are we firing valuable medical personnel when we supposedly need them most of all? #2) WHY aren't we mandate vaccinating the millions of migrants coming into the country as we speak?? WHY are they exempt? But Americans can't work if we don't get vaxxed?  Who will pay for all the welfare and foreign aid if Americans aren't working? Why are Americans shamed into submission while non-citizens get free range from vaccinations? WHY is the USPS exempt as well?? Do all these lives not matter? Why on Earth would you ever exempt people from a 'death sentence'?  #3) WHY is Pfizer manufacturing a synthetic version of Ivermectin to treat Covid that they can patent and profiteer from?  Weren't we all reassured over and over that ivermectin was horse dewormer? And WHY is the US government giving all incoming migrants ivermectin instead of Covid vax?  #4) WHY are FDA commissioners resigning during the most pivotal landmark of their entire careers?? This is a global pandemic and the FDA policy not only affects America, but many other countries that look to OUR FDA guidelines to follow. This should be a defining moment in their career! Yet they are resigning in the middle of these circumstances. WHY?  Does anyone know? Multiple news outlets said they resigned over pressure from the White House to approve vaccines/boosters on a timeline dictated by the White House. This political pressure on the FDA is a HUGE problem. The FDA HAS to make efficacy and safety decisions based on science, free of political influence. The FDA can not be shaped by political factors, but by only the scientific data that they see. This is medicine 101. Politicizing the FDA is extremely dangerous for public health. #5) What message does this send to the public for the confidence in vaccines?? Isn't public perception of vaccines incredibly important? White House influence on the FDA, leading to resignations, is the worst thing that could happen to the vaccine approval process. There is also information that suggests that an additional reason for the resignations was the manipulation of uncontrolled studies to affect the outcomes to make them politically advantageous. These resigners should be interviewed asap. Can anyone make sense of any of this please?? Make it make sense!!  Feel free to copy/paste/share as my profile is locked down for having unapproved thoughts and asking unapproved questions such as this. #ThoughtCriminal",,,,,,0,,,4,-5,1
Conservative Hispanic Society,,none,,,,7576,,2021-09-17 10:19:20 EDT,2021/9/17,10:19:20,Status,2,0,0,2,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/172087664497/permalink/10161416459584498," I have questions. I know asking questions is a cardinal sin....but I'll be brave and ask anyway. #1) WHY are medically educated nurses quitting and getting fired instead of getting the vax? They have worked on the frontlines since the beginning, so no one can accuse them of being ignorant on the subject. They know more about Covid than anyone else. So what do they know that we don't?  And WHY is the system firing all these valuable folks in a pandemic in the first place? They worked through the worst of it last year with no vaccine when we didn't know anything at all about Covid. This year they're all expendable when we now know it has a survival rate of 99.8%?  If the hospitals are as """"""""clogged"""""""" as they say.... WHERE is the USS Comfort?? WHERE is the Army Corp of Engineers building temporary hospitals? WHY are we firing valuable medical personnel when we supposedly need them most of all? #2) WHY aren't we mandate vaccinating the millions of migrants coming into the country as we speak?? WHY are they exempt? But Americans can't work if we don't get vaxxed?  Who will pay for all the welfare and foreign aid if Americans aren't working? Why are Americans shamed into submission while non-citizens get free range from vaccinations? WHY is the USPS exempt as well?? Do all these lives not matter? Why on Earth would you ever exempt people from a 'death sentence'?  #3) WHY is Pfizer manufacturing a synthetic version of Ivermectin to treat Covid that they can patent and profiteer from?  Weren't we all reassured over and over that ivermectin was horse dewormer? And WHY is the US government giving all incoming migrants ivermectin instead of Covid vax?  #4) WHY are FDA commissioners resigning during the most pivotal landmark of their entire careers?? This is a global pandemic and the FDA policy not only affects America, but many other countries that look to OUR FDA guidelines to follow. This should be a defining moment in their career! Yet they are resigning in the middle of these circumstances. WHY?  Does anyone know? Multiple news outlets said they resigned over pressure from the White House to approve vaccines/boosters on a timeline dictated by the White House. This political pressure on the FDA is a HUGE problem. The FDA HAS to make efficacy and safety decisions based on science, free of political influence. The FDA can not be shaped by political factors, but by only the scientific data that they see. This is medicine 101. Politicizing the FDA is extremely dangerous for public health. #5) What message does this send to the public for the confidence in vaccines?? Isn't public perception of vaccines incredibly important? White House influence on the FDA, leading to resignations, is the worst thing that could happen to the vaccine approval process. There is also information that suggests that an additional reason for the resignations was the manipulation of uncontrolled studies to affect the outcomes to make them politically advantageous. These resigners should be interviewed asap. Can anyone make sense of any of this please?? Make it make sense!!  Feel free to copy/paste/share as my profile is locked down for having unapproved thoughts and asking unapproved questions such as this. #ThoughtCriminal",,,,,,0,,,2,-10,-1
Conservative Causes Connection,,none,,,,12463,,2021-09-17 10:18:21 EDT,2021/9/17,10:18:21,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/981902888492081/permalink/5063683616980634," I have questions. I know asking questions is a cardinal sin....but I'll be brave and ask anyway. #1) WHY are medically educated nurses quitting and getting fired instead of getting the vax? They have worked on the frontlines since the beginning, so no one can accuse them of being ignorant on the subject. They know more about Covid than anyone else. So what do they know that we don't?  And WHY is the system firing all these valuable folks in a pandemic in the first place? They worked through the worst of it last year with no vaccine when we didn't know anything at all about Covid. This year they're all expendable when we now know it has a survival rate of 99.8%?  If the hospitals are as """"""""clogged"""""""" as they say.... WHERE is the USS Comfort?? WHERE is the Army Corp of Engineers building temporary hospitals? WHY are we firing valuable medical personnel when we supposedly need them most of all? #2) WHY aren't we mandate vaccinating the millions of migrants coming into the country as we speak?? WHY are they exempt? But Americans can't work if we don't get vaxxed?  Who will pay for all the welfare and foreign aid if Americans aren't working? Why are Americans shamed into submission while non-citizens get free range from vaccinations? WHY is the USPS exempt as well?? Do all these lives not matter? Why on Earth would you ever exempt people from a 'death sentence'?  #3) WHY is Pfizer manufacturing a synthetic version of Ivermectin to treat Covid that they can patent and profiteer from?  Weren't we all reassured over and over that ivermectin was horse dewormer? And WHY is the US government giving all incoming migrants ivermectin instead of Covid vax?  #4) WHY are FDA commissioners resigning during the most pivotal landmark of their entire careers?? This is a global pandemic and the FDA policy not only affects America, but many other countries that look to OUR FDA guidelines to follow. This should be a defining moment in their career! Yet they are resigning in the middle of these circumstances. WHY?  Does anyone know? Multiple news outlets said they resigned over pressure from the White House to approve vaccines/boosters on a timeline dictated by the White House. This political pressure on the FDA is a HUGE problem. The FDA HAS to make efficacy and safety decisions based on science, free of political influence. The FDA can not be shaped by political factors, but by only the scientific data that they see. This is medicine 101. Politicizing the FDA is extremely dangerous for public health. #5) What message does this send to the public for the confidence in vaccines?? Isn't public perception of vaccines incredibly important? White House influence on the FDA, leading to resignations, is the worst thing that could happen to the vaccine approval process. There is also information that suggests that an additional reason for the resignations was the manipulation of uncontrolled studies to affect the outcomes to make them politically advantageous. These resigners should be interviewed asap. Can anyone make sense of any of this please?? Make it make sense!!  Feel free to copy/paste/share as my profile is locked down for having unapproved thoughts and asking unapproved questions such as this. #ThoughtCriminal",,,,,,0,,,0,-32,-1
Brevard Federated Republican Women,,none,,,,455,,2021-11-16 07:28:20 EST,2021/11/16,7:28:20,Status,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/343640340953/permalink/10158510466005954," URGENT CALL TO ACTION THIS IS IT - FLORIDIANS SPEAK NOW OR FOREVER SHOW YOUR PAPERS! The Special Session Of the Florida State Legislature to Ban Vaccine Mandates and protect Medical Freedom is THIS WEEK in Tallahassee! There are organized rallies and car pools along with Telegram chats. Many will be addressing the legislature as well! We MUST get solid bills past that will protect our Freedoms or we will forever be beholden to the vaccine fascists! They are folding to pressure from pro fear pro vax pro and mask pro in both the liberal and conservative Parties! Let your voices be heard! You can call and leave messages on the weekend! THIS IS IT - SPEAK NOW OR FOREVER SHOW YOUR PAPERS! Email, call, Facebook, Telegram, Tweet and Instagram ALL of our representatives!! TODAY and Monday etc until they vote. FLOOD THEM! Governor DeSantis: governorron.desantis@eog.myflorida.com (850) 488-7146 Senators: Rubio: casework@rubio.senate.gov (850) 599-9100 Scott: receipt@rickscott.senate.gov (850) 942-8415 Congressman Posey: chelsea.green@mail.house.gov (202) 225-3671 State Senator Rep Leader mayfield.debbie.web@flsenate.gov (850) 487-5017 State Rep Erin Grall erin.grall@myfloridahouse.gov (850) 717-5054 Thanks to fighting for liberty!",,,,,,0,,,1,-25,2
Republicans of Woodward County,,none,,,,422,,2021-08-14 18:31:50 EDT,2021/8/14,18:31:50,Status,66,34,1,22,6,0,3,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/481237528668619/permalink/4160238184101850,"-Hello. -Hi, table for two, please. -Sure, and your name. -Kimberly. -Great. And do you and your guest have your vaccination cards? -Hmmm well first..Can you tell us who our server will be? -Um, looks like Brad will be your server tonight. -Great. Can you show us Brad's vaccination card? -Um... -And also, can you provide me with proof that Brad is not a carrier of HIV, Hepatitis A or B, or any other communicable diseases? Same for you and the kitchen staff. -Um... -Also, we would prefer not to be served by someone who is on or uses recreational drugs such as marijuana, cocaine, meth, fentanyl, etc, so if you could provide us with Brad's most recent tox screen, that would be great. Matter of fact, imma need to see all of your employees medical history. -Um... Let me get the manager for you. -That would be great, thanks. Make sure they have their vax card and medical records please. Heres the thing, nobody needs restaurants. But they need us. Start standing your ground.",,,,,,0,,,66,2.75,2
Tulsa Republican Club,,none,,,,753,,2021-08-06 13:31:45 EDT,2021/8/6,13:31:45,Status,1,0,0,0,1,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/102637272277/permalink/10159103572942278,...A PANEL OF DOCTORS ABOUT COVID AND VAX. ... https://m.facebook.com/story.php?story_fbid=10216206182947164&id=1829801748,,,,,,0,,,1,-22,-1
Dutchess County NY Conservative Party,,none,,,,406,,2021-12-12 09:20:19 EST,2021/12/12,9:20:19,Status,12,9,1,2,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/523693138455132/permalink/1087197085438065,"**ACTION ALERT** from Eli Kassirer, [12/12/2021 8:34 AM] Speak your truth tomorrow night 6pm (Monday 12/13) at the Dutchess County Legislature regarding Vax Mandates, etc. We will be able to speak during the public comments on non-agenda items at the end of the meeting. I sent each of the Dutchess legislators the Putnam County proposed resolution opposing the Vax Mandates. This meeting is an opportunity to do something. We need to move beyond our computes and our own insulated communities to have an impact on those passing these draconian mandates. I will be there (wearing a blue hat for those who dont know me - Please let me know if you are going to speak) - Hoping to see many of you there tomorrow. If you cant make it you can always email all of the legislators with one email (CountyLegislature@DutchessNY.gov) - You do not need to be a Dutchess resident to speak. Dutchess County Legislature County Office Building 22 Market Street Legislative Chambers Poughkeepsie, NY 12601 (845) 486-2100 MEETING AGENDA Monday, December 13, 2021 Chambers of the Legislature 6:00 PM SPECIAL BOARD MEETING",,,,,,0,,,12,-0.29,2
Michigan Citizens for a Republican U.S. Senator,,none,,,,1339,,2021-02-01 11:16:33 EST,2021/2/1,11:16:33,Status,4,2,2,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/63260527779/permalink/10159488648467780,"**Mike Adams of Natural News warns that, almost everyone that takes the Rona """"""""vax"""""""" (not a vaccine) WILL BE DEAD** **within 5 years.**",,,,,,0,,,4,0.21,1
Conservative Confederacy Rangers,,none,,,,188,,2020-12-13 11:15:02 EST,2020/12/13,11:15:02,Status,53,3,0,47,0,0,0,0,3,0,,-,0,0,0,,https://www.facebook.com/groups/915745868495018/permalink/3581013821968196,"**PEOPLE DONT BE LAB RATS! Wait and see what happens to Big Pharmas Guinea pigs  possible womens infertility?** **The first trucks carrying a COVID-19 vaccine for widespread use in the United States were set to pull out of a Michigan manufacturing plant Sunday** **DEPOPULATION VAX: Trial subjects injected with coronavirus vaccines suddenly test positive for HIV** **CENSORED LINK - Life saving information - """"""""You can't post this. This URL goes against our Community Standards""""""""** **The coronavirus vaccine is a global depopulation bioweapon. People injected with covid-19 vaccines are suddenly testing positive for HIV.** **GOD SAVE AMERICA **",,,,,,0,,,53,1.08,1
Republican Liberty Caucus of Indiana,,none,,,,483,,2022-02-03 17:42:28 EST,2022/2/3,17:42:28,Status,2,1,0,1,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/46393651212/permalink/10157998374876213,"**Tomorrow at NOON at the county clerk is deadline to apply for Delegate! Everyone, Last call for Delegates to the Republican convention!!! Tired of CRT, VAX and mask mandates? Want more election integrity? Become a delegate. Run today or tomorrow by NOON to your county clerk. They will have the form and can answer questions!! Cost: 100 dollars if you win. Minimal time investment to take back the republican party. Let's do this!! Shake up the Indiana Republican party!!!**",,,,,,0,,,2,-0.67,2
