User Name,Codename,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted    Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score,antivax
Democratic America,,none,,,,9355,,2022-02-12 12:53:44 EST,2022/2/12,12:53:44,Status,19,13,1,3,2,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/203489800225585/permalink/1083673158873907,"According to the Centers for Disease Control and Prevention, getting vaccinated against COVID can lower your risk of receiving and spreading the virus that causes COVID. Vaccines can also help prevent serious illness and death. Do you know who works for this organization? That's right! Scientists!! People who garner their anti-vax disinformation from some conspiracy theorist nuts with a chip on their shoulder because they did not receive the top prize for a science project in high school are both stupid and reckless - endangering the lives of responsible citizens who take stock in reasoned, analytical thinking. The ludicrous and woefully disruptive Canadian trucker convoy should be dispersed as quickly as possible. Tear gas the idiots, if that is what must be done. I am a proud union man. But the approximately 4000 harebrained New York City municipal workers who refuse vaccination should lose their jobs. Mayor Adams is to be applauded for his support of those employees who behaved in an adult-like manner, following simple, effective vaccine protocols.",,,,,,0,,,19,-2.95,0
Democratic America,,none,,,,9062,,2021-08-19 11:24:37 EDT,2021/8/19,11:24:37,Status,1,0,0,0,0,1,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/203489800225585/permalink/976567499584474,"After all the COVID denial, after misleading untold numbers of their viewers to their deaths with anti-vaxxer lies...Even as they CONTINUE to spew anti-vaxx... fox news makes its employees reveal vax status or wear a mask...F**K RIGHTWING MURDERERS... twitterurl",,,,,,0,,,1,-59,0
Republicans and Democrats United for Biden-Harris,,none,,,,9553,,2021-07-28 18:30:06 EDT,2021/7/28,18:30:06,Status,13,13,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/683933382149146/permalink/987027271839754,"Anna Navarro:""""""""Blue Lives Matter - except Jan. 6th Tough on terrorists- except white nationalists My body, my choice! - for masks & vaccines only Cancel cultures bad - except when I do it Deport undocumented - except my nanny No big govt - except banning private business requiring proof of vax.""""""""",,,,,,0,,,13,-7.46,1
OK 5th Dist. Democrats,,none,,,,1130,,2021-10-14 21:48:55 EDT,2021/10/14,21:48:55,Status,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/127605537291513/permalink/4723758401009514,Anti mask and anti vax Republicans are like a sheep herder killing off all the sheep dogs to protect the sheep from all the wolves and then ignore all the dead sheep and getting mad when someone tells them to get more sheep dogs!,,,,,,0,,,2,-12,0
Sarasota County Democratic Party - Local Issues,,none,,,,634,,2021-11-09 17:20:42 EST,2021/11/9,17:20:42,Status,12,6,6,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1795528777409202/permalink/2773597222935681,Any interest for a social meetup type group for Democrats/Independents not focusing on political discussion or tax-vs anti-vax. ???,,,,,,0,,,12,-2,0
Proud Democrats,,none,,,,2918,,2022-02-08 08:31:48 EST,2022/2/8,8:31:48,Status,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/792806724558269/permalink/1276988256140111,"A report last week from the American Academy of Pediatrics indicates caseloads of children in whom COVID has been diagnosed only keep rising. According to Dr. Moira Szilagyi, President of the American Academy of Pediatrics, After nearly two years of this pandemic, we know that this disease has not always been mild in children, and weve seen some kids suffer severe illness, both in the short term and in the long term. Placing a red MAGA cap of ignorance on the head of a child isnt enough. Anti-vax parents ruthlessly endanger the lives of their children when they insist upon extending their lunacy to another generation.",,,,,,0,,,1,-37,0
Liberal Nation Rising,,none,,,,7546,,2021-05-08 10:13:10 EDT,2021/5/8,10:13:10,Status,32,8,5,5,0,0,0,9,5,0,,-,0,0,0,,https://www.facebook.com/groups/219104618471894/permalink/1376359382746406,"At this moment, it appears that America will not get enough of it's citizens vaccinated to reach """"""""herd immunity, the level required to suppress transmission to the point that the disease no longer circulates freely in the community. The issue is not technology. Thanks to a whole series of companies around the world who moved to create their vaccines within 48 hours from the time the Chinese scientists first released the viruses genetic sequence, followed by months of testing in nations around the world, the vaccines are safe and efficient. It's not a matter of vaccine doses supply. Thanks to President Biden, who moved to acquire hundreds of millions of doses and establish hundreds of mass vaccination sites, there are more than enough doses to cover every American citizen No. The problem is vaccine acceptance. And very specifically, the problem is the refusal of nearly half of Republicans to go out and get vaccinated. Those Republicans have given any number of reasons they don't want a jab. Some of them use old anti-vax themes about mercury ( not there ) or a mythical protein that causes women to become infertile ( multiple women got pregnant and had children while taking part in trials ) or a microchip that allows tech giants to constantly track your location ( it's called a cell phone ). But what all those reasons put together say is, thete is no reason, no reason other than the one that shapes everything Republicans do these days, owning the libs.",,,,,,0,,,32,-2.09,0
Progressive and Liberal Activists,,none,,,,6314,,2021-05-08 10:14:08 EDT,2021/5/8,10:14:08,Status,2,1,0,0,0,0,0,1,0,0,,-,0,0,0,,https://www.facebook.com/groups/376941065675704/permalink/3413872991982481,"At this moment, it appears that America will not get enough of it's citizens vaccinated to reach """"""""herd immunity, the level required to suppress transmission to the point that the disease no longer circulates freely in the community. The issue is not technology. Thanks to a whole series of companies around the world who moved to create their vaccines within 48 hours from the time the Chinese scientists first released the viruses genetic sequence, followed by months of testing in nations around the world, the vaccines are safe and efficient. It's not a matter of vaccine doses supply. Thanks to President Biden, who moved to acquire hundreds of millions of doses and establish hundreds of mass vaccination sites, there are more than enough doses to cover every American citizen No. The problem is vaccine acceptance. And very specifically, the problem is the refusal of nearly half of Republicans to go out and get vaccinated. Those Republicans have given any number of reasons they don't want a jab. Some of them use old anti-vax themes about mercury ( not there ) or a mythical protein that causes women to become infertile ( multiple women got pregnant and had children while taking part in trials ) or a microchip that allows tech giants to constantly track your location ( it's called a cell phone ). But what all those reasons put together say is, thete is no reason, no reason other than the one that shapes everything Republicans do these days, owning the libs.",,,,,,0,,,2,-16.5,-1
Toward a Federal Liberal Government - ForwardForEveryone,,none,,,,905,,2022-02-01 15:14:59 EST,2022/2/1,15:14:59,Status,11,8,1,2,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/296936790905850/permalink/989114778354711,"# **Beware the convoy  It appears as a western fifth column to take down Canada.** The Freedom Convoy has been a disgusting stain foisted on Canada by western separatists. The truckers and their entourage were parking around the Cenotaph, prancing (and pissing) in the snow on the Tomb of the Unknown Soldier, waving Nazi flags, hanging an anti-vax post on the Terry Fox monument, mooching free meals from a soup kitchen, and screaming at the media covering the protest. This was a western super spreader event that will drive covid numbers up in Ontario. If this disgrace is not dealt with firmly, it could drive Canada towards anti-democratic illiberalism and the breakdown of public trust in its institutions. These truckers are not ordinary protesters, theyre hopeless. Protests have been premised on a simple principle: The government isnt living up to its own laws, or its laws undercut its claims of justice and fairness for all. The protest is intended to bring out thousands of people to shame the government into respecting its own proclaimed beliefs in justice, equality, freedom, the rule of law. These truckers have disregarded those principles. The reasons for their cross-country convoy morphed from day to day, hour to hour. Freedom from vaccination vanished; now it was the whole public health response that had to go, and never mind that the federal government cant much influence the provinces on such issues. Then a strange alliance of the Governor-General and the Senate was supposed to oust Justin Trudeau and then what? Hand the country over to the truckers? These truckers and their organizers dont seem to have a very clear sense of any kind of history. They did know that swastikas trigger people, like a thumbtack on the teachers chair. They wanted to own us, get a rise out of us, by telling us how little they shared of our values. Weve seen this show evolve six years ago south of the border. Trump could insult and undermine American institutions, and persuade Americans that some weird Deep State had taken over their country, from the media to the FBI to the electoral system. He didnt have to marshal arguments, cite authorities, or otherwise try to persuade skeptics. You could just dump on anyone who didnt agree with you. There was no logic and he gave America hate as a faith. So the truckers and their supporters have behaved very badly to challenge Canadians who respect and trust in their institutions. You admire Terry Fox? We couldnt care less. You respect our fallen soldiers? Piss on them. Youre in the media? We dont need to give you a sound bite about what we want  just a few seconds of abusing you as a stooge of a lying newspaper or broadcaster. The same disrespect went out to every healthcare worker, every teacher, and every civil servant. Make their jobs harder, push them to burn out and quit so the hospitals and schools and governments cant function as well. No one knows whats true anymore, which is a precondition for fascism. The Freedom Convoy, then, is a deliberate provocation, a test of the municipal and federal governments: Well show you what we think of you and your sacred institutions. Now, what are you going to do about it? Trudeau senior would have said Just watch me, and called in the army. Jagmeet Singh has confined himself to severe disapproval of vile, violent and hateful behaviour. The truckers have also effectively neutered the Conservative Party of Canada. Erin OToole could neither reject them nor endorse them, just as he couldnt come out for or against vaccination. Meanwhile, Maxime Berniers Peoples Party of Canada was in the thick of it and likely signing up plenty of members. Our governments seem to have made a disastrous misjudgment. Where the truckers and their supporters are violating laws, they should be promptly arrested. These arrests should continue as long as needed and it would show Canada and the world that were serious about peace, order and good government and public health as well. Justice delayed is justice denied for such people. Worse yet, justice is both denied and discredited for the rest of us.",,,,,,0,,,11,-3.91,-1
Activist  Democrats,,none,,,,123338,,2020-06-27 00:18:10 EDT,2020/6/27,0:18:10,Status,176,53,1,72,10,0,38,0,0,2,,-,0,0,0,,https://www.facebook.com/groups/686416788040835/permalink/3695366857145798,"Did you guys know the FDA just approved a drug that reduces your chance of getting COVID-19 by 5X? Its trade name is called Wearamaskasshole. Side effects include mild inconvienience, possible victim complex, fear of people thinking you are a sheeple, being ostracized by your anti-vax plandemic bros, and the power to stop your own asymptomatic transmission as this country stubbornly dives right on into that second wave. Check with your doctor, or really anyone, to see if Wearamaskasshole is right for you.",,,,,,0,,,176,1.64,0
