User Name,Codename,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted    Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score,antivax
Stittsville Moms,,parenting,,,,3030,,2022-01-07 21:26:32 EST,2022/1/7,21:26:32,Status,26,9,5,1,1,0,0,0,0,10,,-,0,0,0,,https://www.facebook.com/groups/196220237146459/permalink/4222877817813994,"A copy of the letter we sent in to our MP & MPP. Good afternoon, I am one of your constituents in Stittsville and wanted to write to you in order to inform you of at least one """"""""ground level"""""""" story of how the lockdowns are affecting the public. My family is struggling already and I don't know if another lockdown period is going to be sustainable. My wife and I both work for the federal government and have been rather unaffected by the lockdowns income-wise, luckily, however the school and other closures are taking a huge toll on my children. I have two in high school and one in grade 6 and all of them have seen their social circles evaporate in the past two years. The lockdown has hit them socially extremely hard as they struggled making friends beforehand, but now they all have none. I try to get them to enter other activities however everything is closed. Each time we start gaining momentum, we get the rug pulled out from under us. They have lost their drive and they are always sad. All have developed anxiety issues and are now seeing counsellors, their grades are suffering and we are struggling more and more to keep them moving forward in life. My eldest in particular has lost half of grade nine, all of grade 10 and it looks like all of grade 11. She will have lost her entire high school life and lost all social contacts being locked in her room by society order. I don't think that we can handle another lockdown. Several times a week we are consoling at least one of them as they cry themselves to sleep. My children NEED to be able to go to school and develop socially. We need help! To be clear I'm not an internet troll anti-vaxxer, we are all fully vaccinated. I fail to understand with all the research coming out that the omicron variant is far less serious than the original covid virus, why we are being pushed to the breaking point again. I know the story that the hospitals *might* be overwhelmed, but from my standpoint it seems like my family and I are being forced to *actually* suffer so that someone else *might* not. We keep being told to """"""""suck it up"""""""" but we've been doing everything *right* this whole time but the finish line keeps getting moved further and further away and we have reached our breaking point. Even my entire extended family is becoming quite extremist and it's scary. My uncles, aunts and cousins are turning anti-vax, crowing about 5G and Q-anon conspiracy theories and they are getting louder. These restrictions are causing something very ugly to bubble to the surface in our society. Please, we need your help to make our voices heard. Best Regards, Giles Babin and Family",,,,,,0,,,26,1.37,0
Anti-Vax Moms,,none,,,,,,2020-11-21 00:34:32 EST,2020/11/21,0:34:32,Status,6,2,3,0,0,0,1,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1021989831634103/permalink/1021990184967401,Anti Vax Mom!!!,,,,,,0,,,6,0.32,-1
Looking for baby stuff (cebu mommies only),,none,,,,59234,,2021-12-30 15:53:16 EST,2021/12/30,15:53:16,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2541008016184387/permalink/3127937107491472,"Any idea where to get cheaper PCV booster (4th) shot? Not avail sa mga barangay health centers gud. Need it for him so we can proceed to his JE vax (makaproceed man nuon bisan walai PCV booster, mas maayo lang gyud if walai kulang nga vax). :blush: #vaxgoals #healthinvestment #investinyourkids",,,,,,0,,,0,-122,0
Mom Meetup of Charleston,,parenting,,,,1551,,2022-02-11 13:25:04 EST,2022/2/11,13:25:04,Status,28,9,15,0,4,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1299353953515137/permalink/4754494451334386,"Anyone in Park Circle want to meet up for a quick drink around 430ish? My mommy brain needs to get out of the house but have no one to hang out with. Thinking Common House or the Mill. Im pro vax, pro choice, and pro cannabis. And I cuss like a sailor.",,,,,,0,,,28,1.47,0
Looking for baby stuff (cebu mommies only),,none,,,,57056,,2021-11-22 23:35:40 EST,2021/11/22,23:35:40,Status,7,2,5,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2541008016184387/permalink/3099136450371538,Asay pfizer nga vax available dri sa cebu city mga my's? Good pm RP. Thanks,,,,,,0,,,7,-8.71,-1
Staten Island Moms,,parenting,,,,1979,,2020-07-19 21:21:16 EDT,2020/7/19,21:21:16,Status,53,3,48,1,1,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/156330741525502/permalink/875581869600382,Asking for a friend... Looking for a Pediatrician who is willing to listen to concerns and go slow/postpone/ do one vaccine at a time and doesnt have a crazy wait in the office. Not looking for opinions on vaccines and this person isnt anti- vax but wants a Ped who is willing to be flexible. I recommended GPM but the wait and waiting list are to long any other suggestions I can pass along?,,,,,,0,,,53,2.65,1
Looking for baby stuff (cebu mommies only),,none,,,,59247,,2021-12-27 13:58:31 EST,2021/12/27,13:58:31,Status,7,0,7,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2541008016184387/permalink/3125847501033766,Ask lang unta ko about ligation diri mga momsh aron dina ko magbalikÂ² since layu kaayu sa sotto amoa. Pwde raba magpa ligate largo if muadtu kas sotto then unsa kahay mga req. dad.on momsh? Pwde raba 1st dose pa ang vax then pwde raba 24 ang edad? Unsa pay public hospital ang mu ligate? Way budget eh private jd :sweat_smile: Respect post! Salamat sa makatubag :blush:,,,,,,0,,,7,-8.71,-1
Marietta Moms,,none,,,,5045,,2021-08-21 09:50:16 EDT,2021/8/21,9:50:16,Status,55,4,46,0,1,0,0,0,0,4,,-,0,0,0,,https://www.facebook.com/groups/159605590730186/permalink/4607651675925533,"Can we talk about something controversial yet informative? Please, to keep the peace, keep politics out of this and please, if somebody has a different opinion than yours, respect it and say nothing. We are all adults, so please control your emotions. A friend's husband just died of covid and he was normal and healthy. Actually, he was in shape because he was a cop. And has always valued his health. I've been on the fence about the Vax, but am now reconsidering. Why did you decide to get it? Or, why have you not gotten it? Pros? Cons? Any complications with your or a relative? Neurological or with the heart?",,,,,,0,,,55,1.53,0
Scarsdale Moms #2,,parenting,,,,5261,,2021-12-19 20:37:17 EST,2021/12/19,20:37:17,Status,3,2,1,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/976906178994549/permalink/5112481235437002,"Does anyone know of a great nanny looking for work starting in January? My familys childcare needs recently changed, and we are looking for a nanny to care for my two daughters (ages 3 and 5) and to help with light housekeeping 35-40 hours per week. Requirements: proof of covid vax, references from former employer, comfortable with small dogs Hours: 12-5:30 on weekdays. 9-5 if my kids school is closed (hopefully this is rare this winter) Pay: competitive, based on experience Please send me a message if you happen to know someone. Thanks!",,,,,,0,,,3,-0.7,0
Clarksville Moms with Littles,,parenting,,,,,,2020-09-11 18:12:47 EDT,2020/9/11,18:12:47,Status,31,0,31,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/593525841023499/permalink/1219507858425291,Do the obgyns push vaxx hard at Tennovas L&D? It will be my first baby delivered at that hospital. I have paperwork and studies on hand to present to a doc should I be encouraged to vax at birth just in case but I just want to know ahead. Thank you!!,,,,,,0,,,31,1.63,0
